Data,Label
Assumption: All commercial airlines are regulated by the government. Assumption: Delta Airlines is a commercial airline. Hypothesis: Therefore Delta Airlines is regulated by the government.,1
Assumption: All square shapes have four sides. Assumption: The shape of this table is square. Hypothesis: Therefore this table has four chairs.,2
Assumption: All members of the House of Representatives are elected officials. Assumption: John Smith is a member of the House of Representatives. Hypothesis: Therefore John Smith is the president.,2
Assumption: All countries in Europe are located on the continent of Europe. Assumption: Germany is a country in Europe. Hypothesis: Therefore Germany is in the EU,2
Assumption: All savory foods contain salt. Assumption: This soup is savory. Hypothesis: Therefore this soup contains spices.,2
Assumption: All vegetables are healthy. Assumption: Carrots are vegetables. Hypothesis: Therefore carrots are juicy.,2
Assumption: All liquids are wet. Assumption: Water is a liquid. Hypothesis: Therefore water is dirty.,2
Assumption: All musical instruments produce sound. Assumption: The piano is a musical instrument. Hypothesis: Therefore the piano produces songs.,2
Assumption: All planets orbit around a star. Assumption: Earth is a planet. Hypothesis: Therefore Earth orbits around.,2
Assumption: All triangles have three sides. Assumption: This shape is a triangle. Hypothesis: Therefore this shape has three angles.,2
Assumption: All racing cars have four wheels. Assumption: The Renault car is a racing car. Hypothesis: Therefore the Renault car has five wheels.,0
Assumption: All racing cars use gasoline for fuel. Assumption: The Ferrari car is a racing car. Hypothesis: Therefore the Ferrrari car uses gasoline for fuel.,1
Assumption: All tennis players use a racket. Assumption:  Roger Federer is a tennis player. Hypothesis: Therefore Roger Federer uses a racket.,1
Assumption: All tennis players wear shoes. Assumption:  Roger Federer is a tennis player. Hypothesis: Therefore Roger Federer wears a wig.,0
Assumption: All tennis players wear shorts. Assumption:  Novak is a tennis player. Hypothesis: Therefore Novak wears shorts.,1
Assumption: All cricket players use a bat. Assumption: Virat Kohli is a cricket player. Hypothesis: Therefore Virat Kohli uses a bat.,1
Assumption: All batsmen wear shin guards. Assumption: Peterson is a cricket player. Hypothesis: Therefore Peterson wears shin guards.,1
Assumption: All cricket players wear a cap. Assumption: Virat Kohli is a cricket player. Hypothesis: Therefore Virat Kohli wears a cap.,1
Assumption: All soccer players use a ball. Assumption: Messi is a soccer player. Hypothesis: Therefore Messi uses a racket.,0
Assumption: All soccer players wear studs. Assumption:  Cristiano Ronaldo is a soccer player. Hypothesis: Therefore Cristiano Ronaldo wears studs.,1
"Assumption: All electrons are Negative. Assumption: electron1 is an electron. Hypothesis: Therefore, electron1 is Negative.",1
"Assumption: All numbers are either odd or even. Assumption: 2 is a number. Hypothesis: Therefore, 2 is either odd or even.",1
